,name,longitude deg,elevation ft
52897,Mucuri Airport,-39.864200592041016,276.0
53062,9 de Maio - Teixeira de Freitas Airport,-39.66849899292,344.0
53065,Óbidos Airport,-55.514596,328.0
53110,Valença Airport,-38.992401,21.0
54588,Barcelos Airport,-62.919601,112.0
55214,Cheddi Jagan International Airport,-58.25410079956055,95.0
55621,Enfidha - Hammamet International Airport,10.438611,21.0
55757,Ordu Giresun Airport,38.085995,11.0
56724,Ust-Kamchatsk Airport,162.689989,200.0
62663,Diu Airport,70.921097,31.0
63033,Darbhanga Airport,85.916901,156.0
63384,Gan International Airport,73.155602,6.0
63825,Juwata Airport,117.569444,23.0
63989,Nusawiru Airport,108.488995,16.0
64128,Muara Bungo Airport,102.135,214.0
65447,Gladstone Airport,151.223007,64.0
66642,Yueyang Sanhe Airport,113.281574,230.0
