,title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
654,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016.0,2020‑06‑08,169.0,79.0,50.0,-4.0,65.0,74.0,243.0,26.0,32.0,80.0,2016.0,Solo
657,Alaska,Maggie Rogers,indie pop,2019.0,2021‑08‑09,104.0,39.0,85.0,-11.0,11.0,18.0,188.0,41.0,5.0,70.0,2016.0,Solo
660,Alone,Marshmello,brostep,2016.0,2021‑08‑17,142.0,95.0,63.0,-4.0,11.0,42.0,274.0,2.0,3.0,76.0,2016.0,Solo
661,In the Name of Love,Martin Garrix,dance pop,2016.0,2020‑06‑08,134.0,52.0,50.0,-6.0,45.0,17.0,196.0,11.0,4.0,81.0,2016.0,Solo
664,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016.0,2020‑06‑08,102.0,71.0,66.0,-7.0,8.0,71.0,198.0,4.0,11.0,81.0,2016.0,Solo
665,Final Song,MØ,art pop,2016.0,2020‑06‑08,105.0,67.0,70.0,-6.0,8.0,25.0,236.0,1.0,3.0,70.0,2016.0,Solo
666,This Town,Niall Horan,dance pop,2016.0,2020‑06‑08,112.0,41.0,68.0,-8.0,12.0,20.0,233.0,70.0,3.0,64.0,2016.0,Solo
667,Close,Nick Jonas,dance pop,2016.0,2020‑06‑08,124.0,62.0,65.0,-5.0,14.0,40.0,234.0,25.0,8.0,74.0,2016.0,Solo
668,History,Olivia Holt,alt z,2016.0,2020‑06‑08,101.0,63.0,77.0,-7.0,12.0,54.0,204.0,10.0,5.0,64.0,2016.0,Solo
671,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016.0,2020‑06‑29,163.0,70.0,63.0,-6.0,11.0,52.0,215.0,1.0,15.0,73.0,2016.0,Solo
672,Not Nice,PARTYNEXTDOOR,pop,2016.0,2020‑06‑08,128.0,50.0,60.0,-9.0,12.0,73.0,203.0,3.0,8.0,67.0,2016.0,Solo
673,Needed Me,Rihanna,barbadian pop,2016.0,2020‑06‑08,111.0,31.0,67.0,-8.0,8.0,30.0,192.0,11.0,24.0,84.0,2016.0,Solo
676,You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2016.0,2020‑06‑08,186.0,64.0,33.0,-6.0,6.0,26.0,201.0,16.0,9.0,74.0,2016.0,Solo
681,The Greatest (feat. Kendrick Lamar),Sia,australian dance,2016.0,2020‑06‑08,192.0,73.0,67.0,-6.0,6.0,73.0,210.0,1.0,27.0,73.0,2016.0,Solo
683,Sweet Lovin' - Radio Edit,Sigala,dance pop,2018.0,2020‑06‑08,125.0,85.0,68.0,-3.0,34.0,71.0,202.0,21.0,7.0,69.0,2016.0,Solo
685,Just Hold On,Steve Aoki,dance pop,2018.0,2020‑06‑08,115.0,93.0,65.0,-4.0,6.0,39.0,199.0,0.0,8.0,61.0,2016.0,Solo
692,Starboy,The Weeknd,canadian contemporary r&b,2016.0,2020‑06‑08,186.0,59.0,68.0,-7.0,14.0,49.0,230.0,14.0,28.0,88.0,2016.0,Solo
694,Girls Like (feat. Zara Larsson),Tinie Tempah,dance pop,2016.0,2020‑06‑08,120.0,80.0,92.0,-3.0,8.0,54.0,196.0,37.0,5.0,67.0,2016.0,Solo
695,Cool Girl,Tove Lo,art pop,2016.0,2020‑06‑08,102.0,69.0,67.0,-7.0,8.0,20.0,199.0,31.0,11.0,69.0,2016.0,Solo
698,Never Forget You,Zara Larsson,dance pop,2017.0,2020‑06‑08,146.0,73.0,58.0,-6.0,27.0,28.0,213.0,0.0,5.0,78.0,2016.0,Solo
699,PILLOWTALK,ZAYN,dance pop,2016.0,2020‑06‑08,125.0,70.0,58.0,-4.0,9.0,44.0,203.0,12.0,5.0,82.0,2016.0,Solo
702,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,melodic rap,2017.0,2021‑01‑28,129.0,81.0,84.0,-5.0,12.0,81.0,209.0,50.0,6.0,79.0,2017.0,Solo
703,Plain Jane,A$AP Ferg,gangster rap,2017.0,2021‑01‑28,170.0,84.0,80.0,-5.0,9.0,52.0,174.0,7.0,28.0,79.0,2017.0,Solo
705,Caroline,Aminé,hip hop,2017.0,2021‑01‑28,120.0,34.0,94.0,-10.0,26.0,71.0,210.0,17.0,51.0,80.0,2017.0,Solo
709,Man's Not Hot,Big Shaq,london rap,2017.0,2021‑01‑28,135.0,88.0,91.0,-4.0,11.0,59.0,186.0,11.0,24.0,67.0,2017.0,Solo
710,Bored,Billie Eilish,art pop,2017.0,2021‑09‑20,120.0,32.0,61.0,-13.0,8.0,11.0,181.0,90.0,5.0,88.0,2017.0,Solo
711,do re mi,blackbear,electropop,2017.0,2021‑01‑28,111.0,59.0,75.0,-6.0,12.0,17.0,212.0,1.0,5.0,77.0,2017.0,Solo
712,That's What I Like,Bruno Mars,dance pop,2016.0,2021‑01‑28,134.0,56.0,85.0,-5.0,9.0,86.0,207.0,1.0,4.0,86.0,2017.0,Solo
713,24K Magic,Bruno Mars,dance pop,2016.0,2021‑01‑28,107.0,80.0,82.0,-4.0,15.0,63.0,226.0,3.0,8.0,82.0,2017.0,Solo
714,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017.0,2021‑01‑28,101.0,75.0,89.0,-3.0,9.0,87.0,223.0,6.0,6.0,81.0,2017.0,Solo
715,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017.0,2021‑01‑28,104.0,80.0,74.0,-3.0,25.0,51.0,231.0,50.0,5.0,77.0,2017.0,Solo
716,Havana (feat. Young Thug),Camila Cabello,dance pop,2018.0,2021‑01‑28,105.0,52.0,77.0,-4.0,13.0,39.0,217.0,18.0,3.0,84.0,2017.0,Solo
717,Bodak Yellow,Cardi B,dance pop,2018.0,2021‑01‑28,125.0,70.0,93.0,-6.0,23.0,49.0,224.0,7.0,10.0,77.0,2017.0,Solo
719,Redbone,Childish Gambino,atl hip hop,2016.0,2021‑01‑28,160.0,34.0,74.0,-11.0,10.0,58.0,327.0,17.0,12.0,87.0,2017.0,Solo
