,Country,Continent,Title,Artists,Explicit
802,El Salvador,North America,Yo Perreo Sola,Bad Bunny,0
803,El Salvador,North America,Favorito,Camilo,0
804,El Salvador,North America,Tattoo,Rauw Alejandro,0
805,El Salvador,North America,Blinding Lights,The Weeknd,0
806,El Salvador,North America,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",0
809,El Salvador,North America,Si Veo a Tu Mamá,Bad Bunny,0
810,El Salvador,North America,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",0
812,El Salvador,North America,Fantasias,"Rauw Alejandro, Farruko",0
814,El Salvador,North America,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",0
815,El Salvador,North America,Sigues Con El,"Dímelo Flow, Arcangel, Sech",0
820,El Salvador,North America,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",0
821,El Salvador,North America,LA CANCIÓN,"J Balvin, Bad Bunny",0
822,El Salvador,North America,Tusa,"KAROL G, Nicki Minaj",0
823,El Salvador,North America,Morado,J Balvin,0
824,El Salvador,North America,Don't Start Now,Dua Lipa,0
825,El Salvador,North America,PORFA,"Feid, Justin Quiles",0
826,El Salvador,North America,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",0
828,El Salvador,North America,Relación,Sech,0
829,El Salvador,North America,Amarillo,J Balvin,0
830,El Salvador,North America,Dance Monkey,Tones And I,0
831,El Salvador,North America,Jangueo,"Alex Rose, Rafa Pabön",0
836,El Salvador,North America,A Tu Merced,Bad Bunny,0
838,El Salvador,North America,Bajo La Mesa,"Morat, Sebastian Yatra",0
839,El Salvador,North America,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",0
840,El Salvador,North America,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",0
842,El Salvador,North America,El Efecto,"Rauw Alejandro, Chencho Corleone",0
843,El Salvador,North America,Por Primera Vez,"Camilo, Evaluna Montaner",0
